['283', '54', '837', '964', '657', '23', '505', '694', '417', '483', '969', '305', '671', '190', '934', '167', '71', '992', '725', '291', '480', '524', '712', '797', '194']
['928', '126', '604', '721', '602', '355', '474', '281', '257', '365', '332', '778', '852', '97', '623', '849', '440', '638', '329', '418', '165', '310', '264', '952', '669']
['397', '146', '560', '295', '543', '634', '107', '759', '314', '861', '833', '10', '821', '398', '169', '696', '299', '622', '506', '473', '416', '3', '585', '302', '254']
['89', '644', '900', '412', '535', '360', '839', '904', '477', '910', '673', '546', '352', '105', '838', '739', '29', '697', '648', '296', '24', '605', '968', '111', '187']
['18', '972', '168', '407', '914', '717', '747', '59', '33', '104', '496', '345', '921', '627', '192', '751', '878', '913', '511', '810', '805', '940', '399', '76', '999']
['199', '521', '529', '804', '286', '824', '812', '706', '625', '788', '351', '758', '724', '204', '817', '223', '196', '959', '841', '958', '405', '603', '781', '9', '654']
['571', '300', '99', '468', '767', '454', '173', '619', '793', '679', '888', '189', '87', '432', '130', '612', '966', '70', '256', '356', '836', '62', '22', '445', '243']
['734', '819', '844', '923', '974', '773', '354', '503', '320', '155', '86', '800', '870', '714', '388', '580', '246', '324', '328', '869', '69', '183', '231', '884', '123']
['382', '470', '600', '437', '677', '85', '938', '159', '825', '347', '109', '500', '191', '170', '695', '916', '404', '748', '743', '557', '290', '472', '509', '579', '688']
['92', '14', '466', '786', '858', '308', '230', '670', '193', '75', '39', '138', '30', '202', '908', '582', '924', '807', '796', '898', '298', '421', '498', '890', '334']
['36', '353', '100', '782', '737', '662', '610', '57', '710', '926', '931', '150', '854', '50', '730', '434', '882', '570', '933', '38', '701', '439', '214', '549', '989']
['487', '379', '406', '675', '993', '615', '484', '875', '609', '465', '212', '577', '502', '339', '937', '164', '771', '960', '128', '555', '996', '385', '823', '67', '892']
['955', '74', '95', '449', '762', '953', '163', '129', '490', '929', '78', '240', '575', '239', '935', '753', '233', '629', '866', '331', '144', '156', '639', '5', '380']
['262', '236', '497', '20', '713', '44', '911', '153', '656', '829', '198', '207', '785', '6', '103', '79', '383', '270', '539', '526', '438', '733', '642', '983', '337']
['951', '864', '705', '779', '132', '681', '481', '971', '285', '72', '200', '842', '141', '55', '902', '237', '513', '293', '635', '691', '370', '390', '620', '666', '419']
['253', '488', '158', '119', '930', '403', '135', '292', '772', '566', '745', '306', '209', '40', '8', '61', '690', '326', '918', '143', '932', '742', '723', '944', '979']
['541', '871', '813', '835', '525', '798', '148', '618', '261', '715', '442', '685', '15', '335', '17', '633', '556', '689', '637', '19', '1', '780', '887', '41', '4']
['34', '655', '83', '994', '703', '2', '13', '574', '475', '569', '247', '179', '903', '96', '736', '495', '809', '46', '945', '56', '357', '375', '899', '177', '649']
['486', '704', '161', '769', '73', '49', '149', '45', '573', '760', '259', '855', '626', '242', '576', '840', '832', '338', '775', '544', '917', '377', '232', '409', '501']
['905', '226', '763', '66', '850', '408', '531', '446', '651', '510', '120', '729', '309', '581', '988', '948', '768', '597', '154', '754', '359', '429', '336', '547', '997']
['641', '614', '98', '271', '333', '267', '636', '221', '373', '301', '0', '263', '84', '508', '530', '632', '965', '426', '376', '561', '47', '422', '886', '998', '210']
['211', '873', '26', '806', '116', '616', '702', '827', '792', '982', '984', '686', '219', '515', '611', '80', '789', '514', '48', '749', '330', '830', '124', '166', '687']
['195', '325', '709', '516', '520', '653', '977', '646', '364', '140', '389', '537', '133', '608', '125', '856', '499', '32', '350', '91', '722', '368', '395', '220', '967']
['536', '93', '584', '643', '197', '954', '415', '297', '369', '42', '317', '659', '846', '260', '752', '534', '206', '881', '463', '341', '378', '277', '731', '255', '268']
['182', '462', '770', '282', '160', '628', '790', '90', '567', '879', '668', '995', '411', '134', '587', '114', '176', '485', '795', '987', '318', '674', '108', '235', '527']
['889', '820', '452', '617', '672', '269', '818', '828', '225', '711', '624', '455', '613', '787', '647', '791', '366', '443', '451', '857', '946', '205', '37', '52', '596']
['660', '11', '920', '413', '925', '491', '558', '145', '21', '43', '489', '678', '504', '976', '136', '278', '122', '540', '157', '312', '885', '224', '400', '631', '391']
['865', '783', '630', '589', '893', '943', '607', '279', '284', '801', '538', '362', '811', '227', '430', '891', '907', '939', '700', '68', '548', '744', '203', '895', '591']
['460', '188', '287', '595', '139', '249', '941', '594', '727', '251', '757', '381', '58', '363', '872', '216', '588', '645', '552', '719', '201', '63', '676', '683', '384']
['435', '980', '592', '101', '458', '922', '94', '304', '692', '340', '60', '457', '319', '444', '115', '765', '175', '118', '990', '447', '981', '738', '265', '431', '106']
['358', '970', '218', '652', '912', '272', '343', '664', '598', '826', '523', '562', '868', '542', '448', '294', '392', '831', '578', '258', '420', '88', '814', '402', '876']
['901', '31', '726', '77', '564', '803', '479', '459', '550', '113', '732', '307', '650', '532', '238', '774', '492', '27', '661', '843', '853', '367', '244', '776', '453']
['975', '25', '151', '401', '313', '949', '250', '171', '590', '476', '847', '746', '750', '665', '186', '428', '553', '494', '863', '327', '142', '424', '82', '599', '228']
['241', '467', '565', '117', '528', '936', '252', '131', '414', '275', '215', '593', '545', '950', '464', '147', '735', '478', '658', '551', '663', '112', '874', '896', '273']
['427', '568', '947', '848', '708', '185', '563', '877', '761', '601', '386', '152', '909', '289', '274', '640', '396', '127', '321', '986', '181', '387', '957', '942', '919']
['621', '859', '65', '276', '303', '248', '213', '28', '517', '456', '766', '777', '433', '802', '693', '699', '349', '512', '344', '851', '894', '845', '110', '361', '311']
['862', '234', '184', '137', '915', '288', '698', '794', '961', '973', '606', '816', '172', '586', '978', '985', '162', '229', '348', '469', '522', '450', '493', '883', '707']
['245', '12', '559', '323', '897', '554', '834', '64', '315', '461', '991', '180', '519', '178', '682', '572', '756', '372', '342', '393', '906', '217', '81', '680', '518']
['720', '815', '51', '667', '822', '808', '880', '441', '867', '583', '208', '482', '371', '174', '799', '7', '755', '741', '316', '280', '716', '684', '374', '956', '394']
['436', '927', '471', '53', '784', '533', '222', '35', '728', '121', '507', '423', '410', '102', '764', '963', '860', '740', '718', '425', '322', '346', '266', '16', '962']
