['191', '568', '244', '419', '92']
['565', '593', '632', '288', '851']
['753', '16', '55', '382', '842']
['939', '483', '878', '557', '624']
['138', '313', '675', '802', '75']
['709', '893', '471', '608', '111']
['747', '272', '746', '584', '351']
['221', '585', '337', '66', '921']
['166', '542', '953', '305', '381']
['503', '461', '599', '901', '968']
['102', '426', '65', '819', '517']
['558', '421', '645', '35', '782']
['142', '264', '279', '361', '522']
['718', '93', '27', '995', '990']
['209', '169', '985', '936', '814']
['756', '201', '193', '277', '947']
['582', '805', '273', '126', '988']
['701', '844', '123', '439', '150']
['442', '464', '462', '113', '937']
['302', '614', '45', '431', '395']
['157', '15', '762', '514', '134']
['218', '49', '476', '69', '446']
['776', '348', '745', '812', '375']
['170', '644', '89', '627', '67']
['255', '629', '715', '555', '34']
['196', '1', '502', '698', '926']
['725', '447', '79', '58', '319']
['899', '228', '181', '918', '147']
['686', '962', '445', '793', '424']
['941', '856', '796', '966', '488']
['50', '266', '303', '738', '287']
['735', '804', '664', '880', '392']
['875', '136', '282', '576', '178']
['642', '331', '504', '81', '306']
['513', '643', '540', '946', '757']
['415', '637', '84', '270', '231']
['352', '324', '527', '263', '824']
['674', '657', '993', '888', '986']
['211', '506', '885', '808', '613']
['9', '631', '391', '635', '109']
['872', '829', '291', '573', '905']
['398', '328', '894', '853', '21']
['175', '484', '634', '733', '265']
['655', '289', '242', '227', '510']
['525', '589', '548', '699', '994']
['456', '490', '900', '595', '326']
['919', '965', '458', '349', '131']
['112', '252', '845', '77', '955']
['187', '837', '972', '702', '394']
['254', '47', '36', '24', '927']
['330', '832', '898', '591', '156']
['535', '959', '610', '207', '662']
['0', '29', '482', '229', '369']
['454', '497', '577', '98', '417']
['882', '734', '714', '233', '470']
['831', '286', '293', '119', '139']
['197', '650', '809', '97', '846']
['380', '104', '892', '167', '41']
['660', '586', '764', '410', '397']
['616', '308', '386', '357', '731']
['48', '243', '987', '914', '344']
['276', '836', '736', '639', '441']
['891', '268', '519', '333', '332']
['25', '241', '815', '934', '896']
['190', '210', '951', '740', '799']
['897', '379', '59', '848', '625']
['468', '874', '532', '956', '346']
['859', '944', '22', '823', '539']
['889', '153', '737', '281', '531']
['238', '239', '363', '399', '320']
['362', '769', '68', '976', '155']
['563', '317', '219', '174', '543']
['354', '492', '688', '511', '546']
['477', '932', '518', '999', '792']
['489', '524', '777', '652', '280']
['865', '428', '198', '37', '654']
['208', '70', '95', '825', '359']
['8', '732', '860', '500', '223']
['771', '567', '607', '137', '449']
['418', '132', '569', '704', '257']
['810', '971', '509', '596', '930']
['11', '598', '705', '284', '964']
['28', '984', '240', '389', '467']
['641', '314', '724', '838', '505']
['626', '235', '849', '575', '697']
['216', '890', '843', '840', '561']
['393', '214', '887', '310', '200']
['57', '487', '425', '296', '526']
['630', '192', '633', '759', '768']
['110', '17', '225', '54', '830']
['711', '162', '437', '494', '204']
['855', '463', '884', '659', '83']
['135', '385', '541', '935', '749']
['44', '758', '6', '160', '39']
['580', '861', '402', '443', '372']
['278', '450', '920', '707', '5']
['423', '212', '800', '574', '188']
['411', '151', '587', '334', '928']
['125', '339', '739', '528', '811']
['656', '275', '90', '719', '342']
['612', '30', '609', '356', '712']
['826', '173', '948', '364', '88']
['353', '917', '271', '38', '981']
['400', '979', '839', '821', '403']
['670', '259', '742', '440', '304']
['521', '916', '496', '791', '750']
['789', '910', '929', '681', '365']
['785', '23', '864', '133', '982']
['667', '343', '246', '474', '954']
['76', '866', '590', '459', '373']
['683', '801', '152', '99', '770']
['678', '205', '922', '544', '729']
['435', '533', '967', '778', '952']
['396', '570', '744', '378', '523']
['409', '931', '871', '781', '422']
['748', '798', '611', '60', '485']
['224', '553', '559', '692', '401']
['312', '854', '755', '387', '61']
['690', '998', '42', '481', '475']
['508', '779', '114', '86', '438']
['775', '448', '827', '436', '822']
['154', '628', '294', '716', '245']
['680', '43', '862', '73', '149']
['232', '355', '666', '323', '262']
