['126', '756', '798', '994', '298', '903', '383', '125', '483', '330', '897', '253', '93', '313', '301', '870', '276', '663', '827', '157', '935', '535', '290', '809', '504']
['616', '886', '622', '751', '16', '869', '668', '359', '369', '488', '939', '224', '90', '186', '627', '930', '362', '353', '50', '478', '834', '750', '974', '922', '879']
['583', '96', '700', '145', '736', '371', '137', '642', '474', '267', '373', '719', '572', '716', '677', '747', '680', '292', '356', '444', '645', '634', '206', '400', '743']
['243', '361', '197', '613', '71', '162', '286', '211', '509', '953', '87', '807', '320', '144', '818', '8', '241', '447', '594', '451', '494', '433', '45', '176', '876']
['704', '921', '291', '26', '115', '212', '437', '931', '339', '772', '791', '993', '816', '644', '121', '499', '108', '278', '665', '255', '310', '378', '633', '407', '946']
['226', '954', '599', '390', '101', '640', '183', '799', '605', '608', '578', '273', '19', '467', '549', '918', '9', '181', '647', '426', '81', '899', '305', '725', '288']
['574', '296', '598', '774', '577', '221', '762', '804', '586', '423', '443', '541', '481', '23', '100', '792', '585', '652', '910', '797', '920', '678', '364', '960', '692']
['932', '973', '710', '146', '456', '629', '445', '670', '976', '945', '712', '472', '626', '575', '511', '411', '480', '852', '312', '63', '217', '36', '514', '673', '321']
['99', '824', '559', '187', '720', '329', '55', '372', '409', '905', '189', '570', '336', '859', '57', '391', '294', '793', '264', '907', '892', '580', '825', '979', '795']
['161', '550', '688', '760', '132', '784', '398', '689', '904', '656', '947', '207', '306', '908', '119', '571', '978', '777', '546', '581', '560', '287', '250', '924', '196']
['690', '117', '417', '538', '120', '651', '135', '285', '91', '707', '851', '399', '317', '724', '82', '235', '225', '638', '43', '934', '776', '297', '698', '983', '732']
['461', '395', '566', '44', '446', '271', '175', '705', '256', '14', '17', '662', '425', '561', '555', '335', '959', '385', '31', '246', '56', '961', '242', '845', '11']
['796', '703', '469', '29', '567', '233', '214', '281', '877', '418', '486', '770', '422', '15', '102', '684', '679', '38', '25', '767', '293', '936', '699', '817', '557']
['713', '948', '131', '527', '741', '436', '820', '259', '701', '220', '21', '785', '828', '556', '522', '41', '928', '919', '803', '438', '896', '508', '441', '142', '141']
['180', '768', '249', '786', '52', '160', '912', '697', '496', '201', '104', '769', '950', '245', '193', '72', '34', '166', '134', '695', '838', '479', '405', '136', '65']
['611', '501', '911', '694', '916', '340', '54', '430', '429', '718', '10', '783', '388', '564', '111', '855', '354', '0', '277', '942', '394', '722', '156', '563', '676']
['263', '539', '191', '151', '128', '237', '649', '238', '230', '738', '749', '215', '591', '404', '875', '190', '129', '465', '512', '470', '155', '381', '740', '468', '77']
['351', '551', '365', '691', '487', '107', '495', '731', '554', '821', '763', '609', '865', '59', '889', '607', '184', '334', '304', '158', '363', '606', '318', '370', '177']
['849', '957', '348', '617', '737', '998', '307', '891', '428', '53', '75', '62', '374', '114', '630', '985', '992', '925', '203', '553', '745', '268', '333', '781', '963']
['888', '835', '660', '185', '168', '95', '717', '309', '205', '502', '384', '386', '528', '457', '823', '592', '815', '138', '648', '94', '37', '308', '623', '739', '477']
['831', '323', '358', '917', '894', '962', '213', '862', '841', '164', '346', '109', '628', '466', '683', '706', '32', '964', '584', '748', '4', '602', '427', '941', '999']
['130', '857', '68', '589', '149', '672', '943', '239', '2', '232', '893', '69', '757', '906', '204', '248', '625', '368', '299', '800', '666', '812', '460', '794', '240']
['779', '172', '360', '986', '490', '582', '382', '675', '872', '133', '836', '686', '35', '167', '754', '968', '714', '938', '178', '257', '971', '289', '497', '247', '801']
['231', '380', '848', '723', '632', '171', '13', '980', '813', '80', '552', '282', '349', '987', '614', '898', '453', '832', '322', '169', '412', '621', '300', '782', '829']
['315', '513', '866', '254', '110', '51', '590', '901', '778', '338', '484', '163', '721', '547', '352', '319', '843', '489', '847', '389', '106', '76', '587', '464', '881']
['850', '18', '536', '39', '639', '7', '49', '421', '506', '780', '127', '542', '344', '882', '20', '887', '476', '505', '295', '519', '955', '972', '148', '343', '534']
['735', '730', '844', '618', '462', '219', '822', '216', '733', '408', '507', '734', '969', '424', '302', '878', '708', '280', '569', '529', '988', '525', '67', '325', '432']
['88', '210', '40', '473', '984', '868', '702', '475', '448', '379', '341', '601', '454', '357', '826', '455', '952', '579', '393', '880', '977', '179', '524', '562', '258']
['895', '685', '376', '153', '811', '92', '612', '61', '846', '269', '159', '337', '435', '200', '619', '449', '758', '251', '543', '902', '958', '150', '208', '788', '890']
['967', '996', '439', '73', '802', '28', '674', '401', '434', '316', '377', '47', '498', '548', '765', '520', '415', '174', '471', '526', '620', '266', '681', '517', '218']
['864', '493', '709', '658', '515', '431', '192', '116', '643', '143', '262', '863', '970', '726', '416', '981', '518', '860', '229', '775', '937', '989', '884', '544', '458']
['22', '387', '661', '915', '982', '244', '568', '790', '593', '328', '696', '808', '842', '990', '830', '452', '523', '202', '874', '885', '209', '687', '667', '3', '833']
['873', '761', '773', '375', '74', '345', '965', '274', '806', '397', '545', '78', '641', '588', '303', '913', '103', '485', '113', '6', '311', '500', '70', '940', '442']
['635', '482', '64', '367', '530', '900', '413', '997', '746', '279', '173', '537', '558', '883', '1', '403', '60', '693', '327', '810', '728', '669', '573', '459', '492']
['764', '659', '30', '540', '97', '366', '342', '194', '631', '819', '742', '440', '89', '624', '98', '837', '752', '283', '450', '909', '83', '118', '600', '260', '789']
['664', '995', '744', '58', '326', '414', '265', '654', '521', '275', '755', '856', '766', '533', '966', '223', '270', '140', '759', '123', '861', '5', '112', '532', '655']
['33', '516', '86', '324', '858', '139', '805', '653', '615', '332', '410', '419', '951', '923', '637', '170', '350', '671', '66', '604', '261', '402', '610', '392', '227']
['27', '154', '636', '24', '463', '48', '871', '105', '355', '347', '839', '222', '603', '406', '420', '914', '596', '79', '228', '510', '715', '727', '199', '840', '165']
['867', '956', '787', '814', '42', '182', '565', '272', '926', '188', '646', '531', '975', '711', '771', '597', '12', '729', '152', '853', '944', '595', '195', '314', '657']
['236', '991', '84', '46', '252', '234', '396', '753', '331', '682', '503', '124', '284', '198', '576', '122', '927', '854', '491', '650', '85', '929', '147', '933', '949']
